ID,Estimated Speedup [%],Function Name,Demangled Name,Duration [us],Runtime Improvement [us],Compute Throughput [%],Memory Throughput [%],# Registers [register/thread],Grid Size,Block Size [block]
59,94.37,bitonic_sort_step,bitonic_sort_step..,"4,70","4,44","0,27","1,97",26,"    8,    1,    1","  512,    1,    1"
60,94.37,bitonic_sort_step,bitonic_sort_step..,"4,67","4,41","0,30","1,98",26,"    8,    1,    1","  512,    1,    1"
61,94.37,bitonic_sort_step,bitonic_sort_step..,"4,64","4,38","0,57","2,14",26,"    8,    1,    1","  512,    1,    1"
62,94.37,bitonic_sort_step,bitonic_sort_step..,"4,80","4,53","0,55","2,02",26,"    8,    1,    1","  512,    1,    1"
63,94.37,bitonic_sort_step,bitonic_sort_step..,"4,77","4,50","0,56","2,19",26,"    8,    1,    1","  512,    1,    1"
64,94.37,bitonic_sort_step,bitonic_sort_step..,"4,80","4,53","0,53","1,86",26,"    8,    1,    1","  512,    1,    1"
65,94.37,bitonic_sort_step,bitonic_sort_step..,"4,70","4,44","0,49","1,54",26,"    8,    1,    1","  512,    1,    1"
66,94.37,bitonic_sort_step,bitonic_sort_step..,"4,61","4,35","0,14","1,12",26,"    8,    1,    1","  512,    1,    1"
67,94.37,bitonic_sort_step,bitonic_sort_step..,"4,90","4,62","0,23","1,85",26,"    8,    1,    1","  512,    1,    1"
68,94.37,bitonic_sort_step,bitonic_sort_step..,"4,90","4,62","0,22","1,80",26,"    8,    1,    1","  512,    1,    1"
69,94.37,bitonic_sort_step,bitonic_sort_step..,"4,70","4,44","0,23","1,83",26,"    8,    1,    1","  512,    1,    1"
70,94.37,bitonic_sort_step,bitonic_sort_step..,"4,86","4,59","0,21","1,66",26,"    8,    1,    1","  512,    1,    1"
71,94.37,bitonic_sort_step,bitonic_sort_step..,"4,70","4,44","0,22","1,66",26,"    8,    1,    1","  512,    1,    1"
72,94.37,bitonic_sort_step,bitonic_sort_step..,"4,70","4,44","0,24","1,61",26,"    8,    1,    1","  512,    1,    1"
73,94.37,bitonic_sort_step,bitonic_sort_step..,"4,64","4,38","0,43","1,60",26,"    8,    1,    1","  512,    1,    1"
74,94.37,bitonic_sort_step,bitonic_sort_step..,"4,70","4,44","0,43","1,74",26,"    8,    1,    1","  512,    1,    1"
75,94.37,bitonic_sort_step,bitonic_sort_step..,"4,83","4,56","0,41","1,70",26,"    8,    1,    1","  512,    1,    1"
76,94.37,bitonic_sort_step,bitonic_sort_step..,"4,77","4,50","0,40","1,55",26,"    8,    1,    1","  512,    1,    1"
77,94.37,bitonic_sort_step,bitonic_sort_step..,"4,67","4,41","0,36","1,33",26,"    8,    1,    1","  512,    1,    1"
78,11.73,adaptive_spmv,adaptive_spmv..unsigned..,"10,85","1,27","37,50","19,63",48,"  569,    1,    1","  256,    1,    1"
79,12.20,adaptive_spmv,adaptive_spmv..unsigned..,"10,91","1,33","36,70","19,21",48,"  569,    1,    1","  256,    1,    1"
80,10.55,adaptive_spmv,adaptive_spmv..unsigned..,"10,66","1,12","36,94","19,34",48,"  569,    1,    1","  256,    1,    1"
81,10.73,adaptive_spmv,adaptive_spmv..unsigned..,"10,66","1,14","37,39","19,57",48,"  569,    1,    1","  256,    1,    1"
82,11.09,adaptive_spmv,adaptive_spmv..unsigned..,"10,75","1,19","37,04","19,39",48,"  569,    1,    1","  256,    1,    1"
83,11.58,adaptive_spmv,adaptive_spmv..unsigned..,"10,72","1,24","37,36","19,55",48,"  569,    1,    1","  256,    1,    1"
84,11.43,adaptive_spmv,adaptive_spmv..unsigned..,"10,78","1,23","37,24","19,49",48,"  569,    1,    1","  256,    1,    1"
85,11.16,adaptive_spmv,adaptive_spmv..unsigned..,"10,62","1,19","37,12","19,43",48,"  569,    1,    1","  256,    1,    1"
86,11.69,adaptive_spmv,adaptive_spmv..unsigned..,"10,85","1,27","37,76","19,77",48,"  569,    1,    1","  256,    1,    1"
87,10.14,adaptive_spmv,adaptive_spmv..unsigned..,"10,59","1,07","36,78","19,25",48,"  569,    1,    1","  256,    1,    1"
88,10.96,adaptive_spmv,adaptive_spmv..unsigned..,"10,66","1,17","37,35","19,55",48,"  569,    1,    1","  256,    1,    1"
89,11.23,adaptive_spmv,adaptive_spmv..unsigned..,"10,75","1,21","37,45","19,60",48,"  569,    1,    1","  256,    1,    1"
90,11.36,adaptive_spmv,adaptive_spmv..unsigned..,"10,78","1,23","37,80","19,78",48,"  569,    1,    1","  256,    1,    1"
91,10.40,adaptive_spmv,adaptive_spmv..unsigned..,"10,59","1,10","37,01","19,37",48,"  569,    1,    1","  256,    1,    1"
