ID,Estimated Speedup [%],Function Name,Demangled Name,Duration [ms],Runtime Improvement [ms],Compute Throughput [%],Memory Throughput [%],# Registers [register/thread],Grid Size,Block Size [block]
47,0.00,bitonic_sort_step,bitonic_sort_step..,"5,64","0,00","5,82","74,87",26,"262144,    1,    1","  512,    1,    1"
48,0.00,bitonic_sort_step,bitonic_sort_step..,"5,36","0,00","6,73","78,79",26,"262144,    1,    1","  512,    1,    1"
49,0.00,bitonic_sort_step,bitonic_sort_step..,"6,43","0,00","6,74","69,77",26,"262144,    1,    1","  512,    1,    1"
50,0.00,bitonic_sort_step,bitonic_sort_step..,"5,62","0,00","14,05","82,21",26,"262144,    1,    1","  512,    1,    1"
51,0.00,bitonic_sort_step,bitonic_sort_step..,"6,22","0,00","12,92","80,90",26,"262144,    1,    1","  512,    1,    1"
52,0.00,bitonic_sort_step,bitonic_sort_step..,"6,72","0,00","11,84","86,11",26,"262144,    1,    1","  512,    1,    1"
53,0.00,bitonic_sort_step,bitonic_sort_step..,"6,44","0,00","11,85","78,07",26,"262144,    1,    1","  512,    1,    1"
54,0.00,bitonic_sort_step,bitonic_sort_step..,"5,79","0,00","11,74","69,65",26,"262144,    1,    1","  512,    1,    1"
55,0.00,bitonic_sort_step,bitonic_sort_step..,"4,74","0,00","6,24","85,13",26,"262144,    1,    1","  512,    1,    1"
56,0.00,bitonic_sort_step,bitonic_sort_step..,"4,85","0,00","6,22","83,70",26,"262144,    1,    1","  512,    1,    1"
57,0.00,bitonic_sort_step,bitonic_sort_step..,"5,12","0,00","6,09","80,36",26,"262144,    1,    1","  512,    1,    1"
58,0.00,bitonic_sort_step,bitonic_sort_step..,"5,65","0,00","5,85","74,54",26,"262144,    1,    1","  512,    1,    1"
59,0.00,bitonic_sort_step,bitonic_sort_step..,"5,35","0,00","6,75","78,99",26,"262144,    1,    1","  512,    1,    1"
60,0.00,bitonic_sort_step,bitonic_sort_step..,"6,48","0,00","6,64","69,32",26,"262144,    1,    1","  512,    1,    1"
61,0.00,bitonic_sort_step,bitonic_sort_step..,"5,60","0,00","14,17","82,29",26,"262144,    1,    1","  512,    1,    1"
62,0.00,bitonic_sort_step,bitonic_sort_step..,"6,04","0,00","13,04","82,79",26,"262144,    1,    1","  512,    1,    1"
63,0.00,bitonic_sort_step,bitonic_sort_step..,"6,54","0,00","11,74","87,51",26,"262144,    1,    1","  512,    1,    1"
64,0.00,bitonic_sort_step,bitonic_sort_step..,"6,20","0,00","11,60","79,35",26,"262144,    1,    1","  512,    1,    1"
65,0.00,bitonic_sort_step,bitonic_sort_step..,"5,34","0,00","11,40","71,84",26,"262144,    1,    1","  512,    1,    1"
66,0.00,bitonic_sort_step,bitonic_sort_step..,"4,63","0,00","6,36","86,35",26,"262144,    1,    1","  512,    1,    1"
67,0.00,bitonic_sort_step,bitonic_sort_step..,"4,76","0,00","6,25","84,76",26,"262144,    1,    1","  512,    1,    1"
68,0.00,bitonic_sort_step,bitonic_sort_step..,"4,88","0,00","6,14","83,33",26,"262144,    1,    1","  512,    1,    1"
69,0.00,bitonic_sort_step,bitonic_sort_step..,"5,16","0,00","6,01","79,82",26,"262144,    1,    1","  512,    1,    1"
70,0.00,bitonic_sort_step,bitonic_sort_step..,"5,59","0,00","5,86","75,16",26,"262144,    1,    1","  512,    1,    1"
71,0.00,bitonic_sort_step,bitonic_sort_step..,"5,33","0,00","6,73","79,11",26,"262144,    1,    1","  512,    1,    1"
72,0.00,bitonic_sort_step,bitonic_sort_step..,"6,48","0,00","6,63","69,21",26,"262144,    1,    1","  512,    1,    1"
73,0.00,bitonic_sort_step,bitonic_sort_step..,"5,54","0,00","14,24","82,92",26,"262144,    1,    1","  512,    1,    1"
74,0.00,bitonic_sort_step,bitonic_sort_step..,"5,96","0,00","13,18","83,45",26,"262144,    1,    1","  512,    1,    1"
75,0.00,bitonic_sort_step,bitonic_sort_step..,"6,38","0,00","11,81","88,32",26,"262144,    1,    1","  512,    1,    1"
76,0.00,bitonic_sort_step,bitonic_sort_step..,"5,91","0,00","11,78","80,45",26,"262144,    1,    1","  512,    1,    1"
77,0.00,bitonic_sort_step,bitonic_sort_step..,"4,94","0,00","11,49","73,78",26,"262144,    1,    1","  512,    1,    1"
78,0.00,bitonic_sort_step,bitonic_sort_step..,"4,58","0,00","6,44","87,28",26,"262144,    1,    1","  512,    1,    1"
79,0.00,bitonic_sort_step,bitonic_sort_step..,"4,61","0,00","6,37","86,73",26,"262144,    1,    1","  512,    1,    1"
80,0.00,bitonic_sort_step,bitonic_sort_step..,"4,77","0,00","6,24","84,60",26,"262144,    1,    1","  512,    1,    1"
81,0.00,bitonic_sort_step,bitonic_sort_step..,"4,92","0,00","6,13","82,64",26,"262144,    1,    1","  512,    1,    1"
82,0.00,bitonic_sort_step,bitonic_sort_step..,"5,20","0,00","5,96","79,16",26,"262144,    1,    1","  512,    1,    1"
83,0.00,bitonic_sort_step,bitonic_sort_step..,"5,57","0,00","5,87","75,32",26,"262144,    1,    1","  512,    1,    1"
84,0.00,bitonic_sort_step,bitonic_sort_step..,"5,35","0,00","6,82","78,72",26,"262144,    1,    1","  512,    1,    1"
85,0.00,bitonic_sort_step,bitonic_sort_step..,"6,42","0,00","6,66","69,78",26,"262144,    1,    1","  512,    1,    1"
86,0.00,bitonic_sort_step,bitonic_sort_step..,"5,54","0,00","14,18","82,54",26,"262144,    1,    1","  512,    1,    1"
87,0.00,bitonic_sort_step,bitonic_sort_step..,"5,93","0,00","13,20","83,60",26,"262144,    1,    1","  512,    1,    1"
88,0.00,bitonic_sort_step,bitonic_sort_step..,"6,33","0,00","11,91","87,80",26,"262144,    1,    1","  512,    1,    1"
89,0.00,bitonic_sort_step,bitonic_sort_step..,"5,70","0,00","12,05","80,41",26,"262144,    1,    1","  512,    1,    1"
90,0.00,bitonic_sort_step,bitonic_sort_step..,"4,65","0,00","11,58","74,29",26,"262144,    1,    1","  512,    1,    1"
91,0.00,bitonic_sort_step,bitonic_sort_step..,"4,57","0,00","6,46","87,37",26,"262144,    1,    1","  512,    1,    1"
92,0.00,bitonic_sort_step,bitonic_sort_step..,"4,57","0,00","6,41","87,46",26,"262144,    1,    1","  512,    1,    1"
93,0.00,bitonic_sort_step,bitonic_sort_step..,"4,64","0,00","6,39","86,21",26,"262144,    1,    1","  512,    1,    1"
94,0.00,bitonic_sort_step,bitonic_sort_step..,"4,75","0,00","6,21","84,79",26,"262144,    1,    1","  512,    1,    1"
95,0.00,bitonic_sort_step,bitonic_sort_step..,"4,93","0,00","6,09","82,54",26,"262144,    1,    1","  512,    1,    1"
96,0.00,bitonic_sort_step,bitonic_sort_step..,"5,19","0,00","5,96","79,34",26,"262144,    1,    1","  512,    1,    1"
97,0.00,bitonic_sort_step,bitonic_sort_step..,"5,59","0,00","5,87","75,11",26,"262144,    1,    1","  512,    1,    1"
98,0.00,bitonic_sort_step,bitonic_sort_step..,"5,39","0,00","6,73","78,21",26,"262144,    1,    1","  512,    1,    1"
99,0.00,bitonic_sort_step,bitonic_sort_step..,"6,40","0,00","6,67","69,82",26,"262144,    1,    1","  512,    1,    1"
100,0.00,bitonic_sort_step,bitonic_sort_step..,"5,51","0,00","14,31","82,78",26,"262144,    1,    1","  512,    1,    1"
101,0.00,bitonic_sort_step,bitonic_sort_step..,"5,94","0,00","13,15","83,24",26,"262144,    1,    1","  512,    1,    1"
102,0.00,bitonic_sort_step,bitonic_sort_step..,"6,31","0,00","11,97","86,45",26,"262144,    1,    1","  512,    1,    1"
103,0.00,bitonic_sort_step,bitonic_sort_step..,"5,61","0,00","12,14","78,35",26,"262144,    1,    1","  512,    1,    1"
104,0.00,bitonic_sort_step,bitonic_sort_step..,"4,42","0,00","11,77","73,65",26,"262144,    1,    1","  512,    1,    1"
105,0.00,bitonic_sort_step,bitonic_sort_step..,"4,57","0,00","6,38","87,11",26,"262144,    1,    1","  512,    1,    1"
106,0.00,bitonic_sort_step,bitonic_sort_step..,"4,57","0,00","6,41","87,20",26,"262144,    1,    1","  512,    1,    1"
107,0.00,bitonic_sort_step,bitonic_sort_step..,"4,57","0,00","6,35","87,65",26,"262144,    1,    1","  512,    1,    1"
108,0.00,bitonic_sort_step,bitonic_sort_step..,"4,64","0,00","6,39","85,99",26,"262144,    1,    1","  512,    1,    1"
109,0.00,bitonic_sort_step,bitonic_sort_step..,"4,76","0,00","6,21","84,56",26,"262144,    1,    1","  512,    1,    1"
110,0.00,bitonic_sort_step,bitonic_sort_step..,"4,94","0,00","6,13","82,49",26,"262144,    1,    1","  512,    1,    1"
111,0.00,bitonic_sort_step,bitonic_sort_step..,"5,16","0,00","6,01","79,66",26,"262144,    1,    1","  512,    1,    1"
112,0.00,bitonic_sort_step,bitonic_sort_step..,"5,56","0,00","5,90","75,43",26,"262144,    1,    1","  512,    1,    1"
113,0.00,bitonic_sort_step,bitonic_sort_step..,"5,35","0,00","6,72","78,67",26,"262144,    1,    1","  512,    1,    1"
114,0.00,bitonic_sort_step,bitonic_sort_step..,"6,38","0,00","6,69","70,00",26,"262144,    1,    1","  512,    1,    1"
115,0.00,bitonic_sort_step,bitonic_sort_step..,"5,53","0,00","14,17","82,40",26,"262144,    1,    1","  512,    1,    1"
116,0.00,bitonic_sort_step,bitonic_sort_step..,"5,95","0,00","13,13","82,57",26,"262144,    1,    1","  512,    1,    1"
117,0.00,bitonic_sort_step,bitonic_sort_step..,"6,24","0,00","12,01","85,33",26,"262144,    1,    1","  512,    1,    1"
118,0.00,bitonic_sort_step,bitonic_sort_step..,"5,53","0,00","12,26","75,73",26,"262144,    1,    1","  512,    1,    1"
119,0.00,bitonic_sort_step,bitonic_sort_step..,"4,21","0,00","12,05","73,10",26,"262144,    1,    1","  512,    1,    1"
120,0.00,bitonic_sort_step,bitonic_sort_step..,"4,55","0,00","6,42","87,48",26,"262144,    1,    1","  512,    1,    1"
121,0.00,bitonic_sort_step,bitonic_sort_step..,"4,57","0,00","6,40","87,26",26,"262144,    1,    1","  512,    1,    1"
122,0.00,bitonic_sort_step,bitonic_sort_step..,"4,62","0,00","6,40","86,27",26,"262144,    1,    1","  512,    1,    1"
