ID,Estimated Speedup [%],Function Name,Demangled Name,Duration [ms],Runtime Improvement [ms],Compute Throughput [%],Memory Throughput [%],# Registers [register/thread],Grid Size,Block Size [block]
150,0.00,bitonic_sort_step,bitonic_sort_step..,"0,05","0,00","23,46","90,27",26," 4096,    1,    1","  512,    1,    1"
151,0.00,bitonic_sort_step,bitonic_sort_step..,"0,04","0,00","25,67","90,15",26," 4096,    1,    1","  512,    1,    1"
152,0.00,bitonic_sort_step,bitonic_sort_step..,"0,04","0,00","27,52","88,69",26," 4096,    1,    1","  512,    1,    1"
153,0.00,bitonic_sort_step,bitonic_sort_step..,"0,04","0,00","10,66","89,16",26," 4096,    1,    1","  512,    1,    1"
154,0.00,bitonic_sort_step,bitonic_sort_step..,"0,04","0,00","10,58","86,85",26," 4096,    1,    1","  512,    1,    1"
155,0.00,bitonic_sort_step,bitonic_sort_step..,"0,04","0,00","10,73","88,35",26," 4096,    1,    1","  512,    1,    1"
156,0.00,bitonic_sort_step,bitonic_sort_step..,"0,04","0,00","10,82","88,92",26," 4096,    1,    1","  512,    1,    1"
157,0.00,bitonic_sort_step,bitonic_sort_step..,"0,04","0,00","10,67","87,93",26," 4096,    1,    1","  512,    1,    1"
158,0.00,bitonic_sort_step,bitonic_sort_step..,"0,04","0,00","10,57","87,76",26," 4096,    1,    1","  512,    1,    1"
159,0.00,bitonic_sort_step,bitonic_sort_step..,"0,04","0,00","10,77","87,64",26," 4096,    1,    1","  512,    1,    1"
160,0.00,bitonic_sort_step,bitonic_sort_step..,"0,04","0,00","10,75","88,54",26," 4096,    1,    1","  512,    1,    1"
161,0.00,bitonic_sort_step,bitonic_sort_step..,"0,04","0,00","10,78","87,51",26," 4096,    1,    1","  512,    1,    1"
162,0.00,bitonic_sort_step,bitonic_sort_step..,"0,04","0,00","11,30","88,23",26," 4096,    1,    1","  512,    1,    1"
163,0.00,bitonic_sort_step,bitonic_sort_step..,"0,04","0,00","11,67","86,37",26," 4096,    1,    1","  512,    1,    1"
164,0.00,bitonic_sort_step,bitonic_sort_step..,"0,04","0,00","12,98","88,53",26," 4096,    1,    1","  512,    1,    1"
165,0.00,bitonic_sort_step,bitonic_sort_step..,"0,04","0,00","15,17","89,07",26," 4096,    1,    1","  512,    1,    1"
166,0.00,bitonic_sort_step,bitonic_sort_step..,"0,04","0,00","26,80","88,91",26," 4096,    1,    1","  512,    1,    1"
