ID,Estimated Speedup [%],Function Name,Demangled Name,Duration [us],Runtime Improvement [us],Compute Throughput [%],Memory Throughput [%],# Registers [register/thread],Grid Size,Block Size [block]
0,8.82,bitonic_sort_step,bitonic_sort_step..,"8,80","0,78","20,38","44,21",26,"  256,    1,    1","  512,    1,    1"
1,10.17,bitonic_sort_step,bitonic_sort_step..,"8,80","0,89","21,81","49,85",26,"  256,    1,    1","  512,    1,    1"
2,10.94,bitonic_sort_step,bitonic_sort_step..,"7,58","0,83","18,18","39,18",26,"  256,    1,    1","  512,    1,    1"
3,8.59,bitonic_sort_step,bitonic_sort_step..,"8,29","0,71","23,02","50,43",26,"  256,    1,    1","  512,    1,    1"
4,9.78,bitonic_sort_step,bitonic_sort_step..,"7,49","0,73","19,64","34,13",26,"  256,    1,    1","  512,    1,    1"
5,11.85,bitonic_sort_step,bitonic_sort_step..,"7,90","0,94","22,96","38,81",26,"  256,    1,    1","  512,    1,    1"
6,8.05,bitonic_sort_step,bitonic_sort_step..,"7,58","0,61","24,67","39,55",26,"  256,    1,    1","  512,    1,    1"
7,9.23,bitonic_sort_step,bitonic_sort_step..,"7,55","0,70","20,16","37,25",26,"  256,    1,    1","  512,    1,    1"
8,8.32,bitonic_sort_step,bitonic_sort_step..,"7,46","0,62","23,22","35,06",26,"  256,    1,    1","  512,    1,    1"
9,7.79,bitonic_sort_step,bitonic_sort_step..,"7,26","0,57","23,26","35,14",26,"  256,    1,    1","  512,    1,    1"
10,8.49,bitonic_sort_step,bitonic_sort_step..,"6,59","0,56","15,17","40,81",26,"  256,    1,    1","  512,    1,    1"
11,6.91,bitonic_sort_step,bitonic_sort_step..,"6,62","0,46","14,28","40,51",26,"  256,    1,    1","  512,    1,    1"
12,8.77,bitonic_sort_step,bitonic_sort_step..,"6,27","0,55","15,06","42,01",26,"  256,    1,    1","  512,    1,    1"
13,9.93,bitonic_sort_step,bitonic_sort_step..,"6,40","0,64","15,07","37,06",26,"  256,    1,    1","  512,    1,    1"
14,7.74,bitonic_sort_step,bitonic_sort_step..,"6,30","0,49","13,58","35,84",26,"  256,    1,    1","  512,    1,    1"
15,11.12,bitonic_sort_step,bitonic_sort_step..,"6,53","0,73","8,05","41,61",26,"  256,    1,    1","  512,    1,    1"
