ID,Estimated Speedup [%],Function Name,Demangled Name,Duration [us],Runtime Improvement [us],Compute Throughput [%],Memory Throughput [%],# Registers [register/thread],Grid Size,Block Size [block]
0,8.09,bitonic_sort_step,bitonic_sort_step..,"8,74","0,71","20,41","44,65",26,"  256,    1,    1","  512,    1,    1"
1,10.31,bitonic_sort_step,bitonic_sort_step..,"8,83","0,91","21,27","50,57",26,"  256,    1,    1","  512,    1,    1"
2,10.34,bitonic_sort_step,bitonic_sort_step..,"7,90","0,82","17,40","37,41",26,"  256,    1,    1","  512,    1,    1"
3,7.65,bitonic_sort_step,bitonic_sort_step..,"8,29","0,63","22,64","50,29",26,"  256,    1,    1","  512,    1,    1"
4,11.54,bitonic_sort_step,bitonic_sort_step..,"7,68","0,89","18,68","33,29",26,"  256,    1,    1","  512,    1,    1"
5,9.67,bitonic_sort_step,bitonic_sort_step..,"8,03","0,78","23,07","38,55",26,"  256,    1,    1","  512,    1,    1"
6,8.06,bitonic_sort_step,bitonic_sort_step..,"7,52","0,61","24,56","39,76",26,"  256,    1,    1","  512,    1,    1"
7,7.70,bitonic_sort_step,bitonic_sort_step..,"7,33","0,56","19,96","38,45",26,"  256,    1,    1","  512,    1,    1"
8,9.08,bitonic_sort_step,bitonic_sort_step..,"7,49","0,68","23,71","34,74",26,"  256,    1,    1","  512,    1,    1"
9,8.46,bitonic_sort_step,bitonic_sort_step..,"7,23","0,61","22,59","35,01",26,"  256,    1,    1","  512,    1,    1"
10,6.70,bitonic_sort_step,bitonic_sort_step..,"6,43","0,43","14,91","41,86",26,"  256,    1,    1","  512,    1,    1"
11,7.43,bitonic_sort_step,bitonic_sort_step..,"6,56","0,49","14,13","40,70",26,"  256,    1,    1","  512,    1,    1"
12,6.72,bitonic_sort_step,bitonic_sort_step..,"6,53","0,44","14,46","40,41",26,"  256,    1,    1","  512,    1,    1"
13,7.70,bitonic_sort_step,bitonic_sort_step..,"6,24","0,48","14,30","37,86",26,"  256,    1,    1","  512,    1,    1"
14,8.88,bitonic_sort_step,bitonic_sort_step..,"6,24","0,55","13,66","36,29",26,"  256,    1,    1","  512,    1,    1"
15,11.39,bitonic_sort_step,bitonic_sort_step..,"6,56","0,75","7,79","41,43",26,"  256,    1,    1","  512,    1,    1"
16,9.26,bitonic_sort_step,bitonic_sort_step..,"6,43","0,60","12,23","40,99",26,"  256,    1,    1","  512,    1,    1"
17,5.50,bitonic_sort_step,bitonic_sort_step..,"6,46","0,36","14,01","41,57",26,"  256,    1,    1","  512,    1,    1"
18,7.22,bitonic_sort_step,bitonic_sort_step..,"6,46","0,47","13,49","43,83",26,"  256,    1,    1","  512,    1,    1"
19,8.39,bitonic_sort_step,bitonic_sort_step..,"6,37","0,53","12,81","37,99",26,"  256,    1,    1","  512,    1,    1"
20,9.62,bitonic_sort_step,bitonic_sort_step..,"6,27","0,60","12,12","34,55",26,"  256,    1,    1","  512,    1,    1"
21,15.17,bitonic_sort_step,bitonic_sort_step..,"6,27","0,95","6,36","42,08",26,"  256,    1,    1","  512,    1,    1"
22,11.50,bitonic_sort_step,bitonic_sort_step..,"6,40","0,74","6,39","41,28",26,"  256,    1,    1","  512,    1,    1"
23,8.16,bitonic_sort_step,bitonic_sort_step..,"6,37","0,52","13,24","43,03",26,"  256,    1,    1","  512,    1,    1"
24,7.29,bitonic_sort_step,bitonic_sort_step..,"6,62","0,48","12,92","40,61",26,"  256,    1,    1","  512,    1,    1"
25,7.40,bitonic_sort_step,bitonic_sort_step..,"6,40","0,47","12,99","41,93",26,"  256,    1,    1","  512,    1,    1"
26,9.13,bitonic_sort_step,bitonic_sort_step..,"6,43","0,59","12,56","35,31",26,"  256,    1,    1","  512,    1,    1"
27,7.11,bitonic_sort_step,bitonic_sort_step..,"6,11","0,43","11,46","32,32",26,"  256,    1,    1","  512,    1,    1"
28,6.50,bitonic_sort_step,bitonic_sort_step..,"6,24","0,41","5,75","41,96",26,"  256,    1,    1","  512,    1,    1"
29,16.35,bitonic_sort_step,bitonic_sort_step..,"6,27","1,03","5,70","41,38",26,"  256,    1,    1","  512,    1,    1"
30,11.61,bitonic_sort_step,bitonic_sort_step..,"6,62","0,77","6,87","40,71",26,"  256,    1,    1","  512,    1,    1"
31,6.58,bitonic_sort_step,bitonic_sort_step..,"6,46","0,43","13,11","41,89",26,"  256,    1,    1","  512,    1,    1"
32,6.56,bitonic_sort_step,bitonic_sort_step..,"6,56","0,43","12,64","39,74",26,"  256,    1,    1","  512,    1,    1"
33,8.33,bitonic_sort_step,bitonic_sort_step..,"6,53","0,54","12,90","39,56",26,"  256,    1,    1","  512,    1,    1"
34,8.29,bitonic_sort_step,bitonic_sort_step..,"6,18","0,51","12,22","34,36",26,"  256,    1,    1","  512,    1,    1"
35,8.06,bitonic_sort_step,bitonic_sort_step..,"6,11","0,49","10,64","30,13",26,"  256,    1,    1","  512,    1,    1"
36,9.21,bitonic_sort_step,bitonic_sort_step..,"6,46","0,60","5,23","39,90",26,"  256,    1,    1","  512,    1,    1"
37,9.99,bitonic_sort_step,bitonic_sort_step..,"6,30","0,63","5,28","41,42",26,"  256,    1,    1","  512,    1,    1"
38,16.71,bitonic_sort_step,bitonic_sort_step..,"6,27","1,05","6,12","41,68",26,"  256,    1,    1","  512,    1,    1"
39,13.85,bitonic_sort_step,bitonic_sort_step..,"6,43","0,89","6,95","41,08",26,"  256,    1,    1","  512,    1,    1"
40,8.40,bitonic_sort_step,bitonic_sort_step..,"6,62","0,56","12,24","40,07",26,"  256,    1,    1","  512,    1,    1"
41,8.41,bitonic_sort_step,bitonic_sort_step..,"6,37","0,54","12,61","39,29",26,"  256,    1,    1","  512,    1,    1"
42,8.43,bitonic_sort_step,bitonic_sort_step..,"6,46","0,55","12,26","37,54",26,"  256,    1,    1","  512,    1,    1"
43,7.84,bitonic_sort_step,bitonic_sort_step..,"6,27","0,49","11,56","31,43",26,"  256,    1,    1","  512,    1,    1"
44,8.68,bitonic_sort_step,bitonic_sort_step..,"6,08","0,53","9,73","28,68",26,"  256,    1,    1","  512,    1,    1"
45,18.30,bitonic_sort_step,bitonic_sort_step..,"6,53","1,19","5,22","39,17",26,"  256,    1,    1","  512,    1,    1"
46,9.44,bitonic_sort_step,bitonic_sort_step..,"6,30","0,59","5,35","41,41",26,"  256,    1,    1","  512,    1,    1"
47,7.40,bitonic_sort_step,bitonic_sort_step..,"6,43","0,48","5,56","41,10",26,"  256,    1,    1","  512,    1,    1"
48,16.02,bitonic_sort_step,bitonic_sort_step..,"6,27","1,00","5,87","41,62",26,"  256,    1,    1","  512,    1,    1"
49,13.23,bitonic_sort_step,bitonic_sort_step..,"6,46","0,86","6,73","41,35",26,"  256,    1,    1","  512,    1,    1"
50,8.35,bitonic_sort_step,bitonic_sort_step..,"6,37","0,53","11,88","41,53",26,"  256,    1,    1","  512,    1,    1"
51,8.95,bitonic_sort_step,bitonic_sort_step..,"6,24","0,56","11,60","39,10",26,"  256,    1,    1","  512,    1,    1"
52,8.04,bitonic_sort_step,bitonic_sort_step..,"6,34","0,51","11,59","36,62",26,"  256,    1,    1","  512,    1,    1"
53,9.24,bitonic_sort_step,bitonic_sort_step..,"6,18","0,57","10,86","30,30",26,"  256,    1,    1","  512,    1,    1"
54,9.90,bitonic_sort_step,bitonic_sort_step..,"6,11","0,61","8,86","27,57",26,"  256,    1,    1","  512,    1,    1"
55,14.80,bitonic_sort_step,bitonic_sort_step..,"6,34","0,94","5,18","40,92",26,"  256,    1,    1","  512,    1,    1"
56,17.84,bitonic_sort_step,bitonic_sort_step..,"6,50","1,16","5,13","40,04",26,"  256,    1,    1","  512,    1,    1"
57,9.74,bitonic_sort_step,bitonic_sort_step..,"6,50","0,63","5,25","39,57",26,"  256,    1,    1","  512,    1,    1"
58,9.28,bitonic_sort_step,bitonic_sort_step..,"6,43","0,60","5,63","41,24",26,"  256,    1,    1","  512,    1,    1"
59,16.21,bitonic_sort_step,bitonic_sort_step..,"6,46","1,05","5,61","40,96",26,"  256,    1,    1","  512,    1,    1"
60,12.89,bitonic_sort_step,bitonic_sort_step..,"6,37","0,82","6,54","41,57",26,"  256,    1,    1","  512,    1,    1"
61,7.51,bitonic_sort_step,bitonic_sort_step..,"6,40","0,48","11,68","40,66",26,"  256,    1,    1","  512,    1,    1"
62,8.36,bitonic_sort_step,bitonic_sort_step..,"6,40","0,53","11,70","37,67",26,"  256,    1,    1","  512,    1,    1"
63,9.28,bitonic_sort_step,bitonic_sort_step..,"6,14","0,57","11,34","36,32",26,"  256,    1,    1","  512,    1,    1"
64,11.18,bitonic_sort_step,bitonic_sort_step..,"6,34","0,71","10,32","28,52",26,"  256,    1,    1","  512,    1,    1"
65,9.95,bitonic_sort_step,bitonic_sort_step..,"6,05","0,60","8,74","27,16",26,"  256,    1,    1","  512,    1,    1"
66,17.74,bitonic_sort_step,bitonic_sort_step..,"6,50","1,15","4,91","39,22",26,"  256,    1,    1","  512,    1,    1"
67,16.59,bitonic_sort_step,bitonic_sort_step..,"6,46","1,07","5,09","40,62",26,"  256,    1,    1","  512,    1,    1"
68,17.06,bitonic_sort_step,bitonic_sort_step..,"6,24","1,06","5,09","41,06",26,"  256,    1,    1","  512,    1,    1"
69,10.90,bitonic_sort_step,bitonic_sort_step..,"6,30","0,69","5,41","41,09",26,"  256,    1,    1","  512,    1,    1"
70,10.56,bitonic_sort_step,bitonic_sort_step..,"6,27","0,66","5,50","41,54",26,"  256,    1,    1","  512,    1,    1"
71,17.82,bitonic_sort_step,bitonic_sort_step..,"6,53","1,16","5,92","40,32",26,"  256,    1,    1","  512,    1,    1"
72,12.76,bitonic_sort_step,bitonic_sort_step..,"6,34","0,81","6,35","42,27",26,"  256,    1,    1","  512,    1,    1"
73,9.38,bitonic_sort_step,bitonic_sort_step..,"6,53","0,61","11,54","39,02",26,"  256,    1,    1","  512,    1,    1"
74,10.08,bitonic_sort_step,bitonic_sort_step..,"6,21","0,63","11,16","36,74",26,"  256,    1,    1","  512,    1,    1"
75,9.36,bitonic_sort_step,bitonic_sort_step..,"6,14","0,58","11,02","34,16",26,"  256,    1,    1","  512,    1,    1"
76,9.73,bitonic_sort_step,bitonic_sort_step..,"6,11","0,59","10,13","28,78",26,"  256,    1,    1","  512,    1,    1"
