ID,Estimated Speedup [%],Function Name,Demangled Name,Duration [ms],Runtime Improvement [ms],Compute Throughput [%],Memory Throughput [%],# Registers [register/thread],Grid Size,Block Size [block]
47,0.00,bitonic_sort_step,bitonic_sort_step..,"5,62","0,00","5,86","75,02",26,"262144,    1,    1","  512,    1,    1"
48,0.00,bitonic_sort_step,bitonic_sort_step..,"5,35","0,00","6,78","79,06",26,"262144,    1,    1","  512,    1,    1"
49,0.00,bitonic_sort_step,bitonic_sort_step..,"6,45","0,00","6,71","69,63",26,"262144,    1,    1","  512,    1,    1"
50,0.00,bitonic_sort_step,bitonic_sort_step..,"5,64","0,00","13,90","81,84",26,"262144,    1,    1","  512,    1,    1"
51,0.00,bitonic_sort_step,bitonic_sort_step..,"6,20","0,00","12,89","81,11",26,"262144,    1,    1","  512,    1,    1"
52,0.00,bitonic_sort_step,bitonic_sort_step..,"6,71","0,00","11,81","86,22",26,"262144,    1,    1","  512,    1,    1"
53,0.00,bitonic_sort_step,bitonic_sort_step..,"6,44","0,00","11,84","78,09",26,"262144,    1,    1","  512,    1,    1"
54,0.00,bitonic_sort_step,bitonic_sort_step..,"5,78","0,00","11,59","69,81",26,"262144,    1,    1","  512,    1,    1"
55,0.00,bitonic_sort_step,bitonic_sort_step..,"4,76","0,00","6,25","84,77",26,"262144,    1,    1","  512,    1,    1"
56,0.00,bitonic_sort_step,bitonic_sort_step..,"4,87","0,00","6,26","83,48",26,"262144,    1,    1","  512,    1,    1"
57,0.00,bitonic_sort_step,bitonic_sort_step..,"5,10","0,00","6,03","80,62",26,"262144,    1,    1","  512,    1,    1"
58,0.00,bitonic_sort_step,bitonic_sort_step..,"5,63","0,00","5,84","74,90",26,"262144,    1,    1","  512,    1,    1"
59,0.00,bitonic_sort_step,bitonic_sort_step..,"5,28","0,00","6,76","79,90",26,"262144,    1,    1","  512,    1,    1"
60,0.00,bitonic_sort_step,bitonic_sort_step..,"6,45","0,00","6,62","69,57",26,"262144,    1,    1","  512,    1,    1"
61,0.00,bitonic_sort_step,bitonic_sort_step..,"5,60","0,00","14,11","82,30",26,"262144,    1,    1","  512,    1,    1"
62,0.00,bitonic_sort_step,bitonic_sort_step..,"6,04","0,00","13,06","82,75",26,"262144,    1,    1","  512,    1,    1"
63,0.00,bitonic_sort_step,bitonic_sort_step..,"6,56","0,00","11,71","87,20",26,"262144,    1,    1","  512,    1,    1"
64,0.00,bitonic_sort_step,bitonic_sort_step..,"6,18","0,00","11,62","79,56",26,"262144,    1,    1","  512,    1,    1"
65,0.00,bitonic_sort_step,bitonic_sort_step..,"5,37","0,00","11,46","71,43",26,"262144,    1,    1","  512,    1,    1"
66,0.00,bitonic_sort_step,bitonic_sort_step..,"4,67","0,00","6,40","85,70",26,"262144,    1,    1","  512,    1,    1"
67,0.00,bitonic_sort_step,bitonic_sort_step..,"4,76","0,00","6,29","84,84",26,"262144,    1,    1","  512,    1,    1"
68,0.00,bitonic_sort_step,bitonic_sort_step..,"4,91","0,00","6,16","82,88",26,"262144,    1,    1","  512,    1,    1"
69,0.00,bitonic_sort_step,bitonic_sort_step..,"5,16","0,00","6,02","79,76",26,"262144,    1,    1","  512,    1,    1"
70,0.00,bitonic_sort_step,bitonic_sort_step..,"5,58","0,00","5,87","75,28",26,"262144,    1,    1","  512,    1,    1"
71,0.00,bitonic_sort_step,bitonic_sort_step..,"5,33","0,00","6,81","79,12",26,"262144,    1,    1","  512,    1,    1"
72,0.00,bitonic_sort_step,bitonic_sort_step..,"6,49","0,00","6,66","69,15",26,"262144,    1,    1","  512,    1,    1"
73,0.00,bitonic_sort_step,bitonic_sort_step..,"5,57","0,00","14,25","82,32",26,"262144,    1,    1","  512,    1,    1"
74,0.00,bitonic_sort_step,bitonic_sort_step..,"5,95","0,00","13,21","83,56",26,"262144,    1,    1","  512,    1,    1"
75,0.00,bitonic_sort_step,bitonic_sort_step..,"6,39","0,00","11,86","88,13",26,"262144,    1,    1","  512,    1,    1"
76,0.00,bitonic_sort_step,bitonic_sort_step..,"5,90","0,00","11,78","80,52",26,"262144,    1,    1","  512,    1,    1"
77,0.00,bitonic_sort_step,bitonic_sort_step..,"4,95","0,00","11,40","73,59",26,"262144,    1,    1","  512,    1,    1"
78,0.00,bitonic_sort_step,bitonic_sort_step..,"4,62","0,00","6,43","86,46",26,"262144,    1,    1","  512,    1,    1"
79,0.00,bitonic_sort_step,bitonic_sort_step..,"4,64","0,00","6,38","86,08",26,"262144,    1,    1","  512,    1,    1"
80,0.00,bitonic_sort_step,bitonic_sort_step..,"4,76","0,00","6,24","84,73",26,"262144,    1,    1","  512,    1,    1"
81,0.00,bitonic_sort_step,bitonic_sort_step..,"4,95","0,00","6,08","82,26",26,"262144,    1,    1","  512,    1,    1"
82,0.00,bitonic_sort_step,bitonic_sort_step..,"5,18","0,00","6,02","79,52",26,"262144,    1,    1","  512,    1,    1"
83,0.00,bitonic_sort_step,bitonic_sort_step..,"5,56","0,00","5,86","75,44",26,"262144,    1,    1","  512,    1,    1"
84,0.00,bitonic_sort_step,bitonic_sort_step..,"5,31","0,00","6,75","79,34",26,"262144,    1,    1","  512,    1,    1"
85,0.00,bitonic_sort_step,bitonic_sort_step..,"6,41","0,00","6,66","69,90",26,"262144,    1,    1","  512,    1,    1"
86,0.00,bitonic_sort_step,bitonic_sort_step..,"5,53","0,00","14,14","82,72",26,"262144,    1,    1","  512,    1,    1"
87,0.00,bitonic_sort_step,bitonic_sort_step..,"5,93","0,00","13,25","83,67",26,"262144,    1,    1","  512,    1,    1"
88,0.00,bitonic_sort_step,bitonic_sort_step..,"6,34","0,00","11,83","87,66",26,"262144,    1,    1","  512,    1,    1"
89,0.00,bitonic_sort_step,bitonic_sort_step..,"5,72","0,00","12,04","80,18",26,"262144,    1,    1","  512,    1,    1"
90,0.00,bitonic_sort_step,bitonic_sort_step..,"4,64","0,00","11,59","74,50",26,"262144,    1,    1","  512,    1,    1"
91,0.00,bitonic_sort_step,bitonic_sort_step..,"4,55","0,00","6,44","87,59",26,"262144,    1,    1","  512,    1,    1"
92,0.00,bitonic_sort_step,bitonic_sort_step..,"4,58","0,00","6,41","87,23",26,"262144,    1,    1","  512,    1,    1"
93,0.00,bitonic_sort_step,bitonic_sort_step..,"4,61","0,00","6,39","86,74",26,"262144,    1,    1","  512,    1,    1"
94,0.00,bitonic_sort_step,bitonic_sort_step..,"4,75","0,00","6,26","84,69",26,"262144,    1,    1","  512,    1,    1"
95,0.00,bitonic_sort_step,bitonic_sort_step..,"4,95","0,00","6,11","82,33",26,"262144,    1,    1","  512,    1,    1"
96,0.00,bitonic_sort_step,bitonic_sort_step..,"5,21","0,00","5,98","79,11",26,"262144,    1,    1","  512,    1,    1"
97,0.00,bitonic_sort_step,bitonic_sort_step..,"5,60","0,00","5,87","75,00",26,"262144,    1,    1","  512,    1,    1"
98,0.00,bitonic_sort_step,bitonic_sort_step..,"5,34","0,00","6,73","78,83",26,"262144,    1,    1","  512,    1,    1"
99,0.00,bitonic_sort_step,bitonic_sort_step..,"6,40","0,00","6,70","69,87",26,"262144,    1,    1","  512,    1,    1"
100,0.00,bitonic_sort_step,bitonic_sort_step..,"5,57","0,00","14,14","81,92",26,"262144,    1,    1","  512,    1,    1"
101,0.00,bitonic_sort_step,bitonic_sort_step..,"5,96","0,00","13,16","82,90",26,"262144,    1,    1","  512,    1,    1"
102,0.00,bitonic_sort_step,bitonic_sort_step..,"6,31","0,00","11,92","86,48",26,"262144,    1,    1","  512,    1,    1"
103,0.00,bitonic_sort_step,bitonic_sort_step..,"5,60","0,00","12,19","78,54",26,"262144,    1,    1","  512,    1,    1"
104,0.00,bitonic_sort_step,bitonic_sort_step..,"4,41","0,00","11,80","73,90",26,"262144,    1,    1","  512,    1,    1"
105,0.00,bitonic_sort_step,bitonic_sort_step..,"4,57","0,00","6,43","86,98",26,"262144,    1,    1","  512,    1,    1"
106,0.00,bitonic_sort_step,bitonic_sort_step..,"4,62","0,00","6,45","86,21",26,"262144,    1,    1","  512,    1,    1"
107,0.00,bitonic_sort_step,bitonic_sort_step..,"4,64","0,00","6,41","86,24",26,"262144,    1,    1","  512,    1,    1"
108,0.00,bitonic_sort_step,bitonic_sort_step..,"4,64","0,00","6,39","85,90",26,"262144,    1,    1","  512,    1,    1"
109,0.00,bitonic_sort_step,bitonic_sort_step..,"4,74","0,00","6,24","84,92",26,"262144,    1,    1","  512,    1,    1"
110,0.00,bitonic_sort_step,bitonic_sort_step..,"4,93","0,00","6,12","82,70",26,"262144,    1,    1","  512,    1,    1"
111,0.00,bitonic_sort_step,bitonic_sort_step..,"5,18","0,00","5,96","79,35",26,"262144,    1,    1","  512,    1,    1"
112,0.00,bitonic_sort_step,bitonic_sort_step..,"5,55","0,00","5,87","75,45",26,"262144,    1,    1","  512,    1,    1"
113,0.00,bitonic_sort_step,bitonic_sort_step..,"5,36","0,00","6,77","78,57",26,"262144,    1,    1","  512,    1,    1"
114,0.00,bitonic_sort_step,bitonic_sort_step..,"6,36","0,00","6,75","70,16",26,"262144,    1,    1","  512,    1,    1"
115,0.00,bitonic_sort_step,bitonic_sort_step..,"5,56","0,00","14,25","81,89",26,"262144,    1,    1","  512,    1,    1"
116,0.00,bitonic_sort_step,bitonic_sort_step..,"5,96","0,00","13,14","82,46",26,"262144,    1,    1","  512,    1,    1"
117,0.00,bitonic_sort_step,bitonic_sort_step..,"6,24","0,00","12,01","85,35",26,"262144,    1,    1","  512,    1,    1"
118,0.00,bitonic_sort_step,bitonic_sort_step..,"5,54","0,00","12,25","75,66",26,"262144,    1,    1","  512,    1,    1"
119,0.00,bitonic_sort_step,bitonic_sort_step..,"4,21","0,00","12,05","73,12",26,"262144,    1,    1","  512,    1,    1"
