ID,Estimated Speedup [%],Function Name,Demangled Name,Duration [us],Runtime Improvement [us],Compute Throughput [%],Memory Throughput [%],# Registers [register/thread],Grid Size,Block Size [block]
47,0.00,bitonic_sort_step,bitonic_sort_step..,"37,89","0,00","11,33","88,27",26," 4096,    1,    1","  512,    1,    1"
48,5.52,bitonic_sort_step,bitonic_sort_step..,"37,82","2,09","12,14","87,97",26," 4096,    1,    1","  512,    1,    1"
49,0.00,bitonic_sort_step,bitonic_sort_step..,"37,92","0,00","13,30","88,49",26," 4096,    1,    1","  512,    1,    1"
50,0.00,bitonic_sort_step,bitonic_sort_step..,"37,44","0,00","23,77","87,81",26," 4096,    1,    1","  512,    1,    1"
51,0.00,bitonic_sort_step,bitonic_sort_step..,"35,87","0,00","24,36","87,65",26," 4096,    1,    1","  512,    1,    1"
52,0.00,bitonic_sort_step,bitonic_sort_step..,"34,75","0,00","24,36","87,17",26," 4096,    1,    1","  512,    1,    1"
53,0.00,bitonic_sort_step,bitonic_sort_step..,"31,30","0,00","24,83","83,14",26," 4096,    1,    1","  512,    1,    1"
54,0.00,bitonic_sort_step,bitonic_sort_step..,"28,54","0,00","21,61","84,01",26," 4096,    1,    1","  512,    1,    1"
55,0.00,bitonic_sort_step,bitonic_sort_step..,"37,98","0,00","10,75","88,69",26," 4096,    1,    1","  512,    1,    1"
56,0.00,bitonic_sort_step,bitonic_sort_step..,"38,50","0,00","10,55","87,29",26," 4096,    1,    1","  512,    1,    1"
57,0.00,bitonic_sort_step,bitonic_sort_step..,"38,50","0,00","10,95","87,43",26," 4096,    1,    1","  512,    1,    1"
58,0.00,bitonic_sort_step,bitonic_sort_step..,"38,66","0,00","11,13","87,65",26," 4096,    1,    1","  512,    1,    1"
59,5.21,bitonic_sort_step,bitonic_sort_step..,"38,21","1,99","12,04","87,66",26," 4096,    1,    1","  512,    1,    1"
60,0.00,bitonic_sort_step,bitonic_sort_step..,"39,07","0,00","13,27","86,80",26," 4096,    1,    1","  512,    1,    1"
61,0.00,bitonic_sort_step,bitonic_sort_step..,"36,96","0,00","23,83","88,18",26," 4096,    1,    1","  512,    1,    1"
62,0.00,bitonic_sort_step,bitonic_sort_step..,"35,65","0,00","24,27","87,42",26," 4096,    1,    1","  512,    1,    1"
63,0.00,bitonic_sort_step,bitonic_sort_step..,"33,98","0,00","24,49","87,09",26," 4096,    1,    1","  512,    1,    1"
64,0.00,bitonic_sort_step,bitonic_sort_step..,"30,02","0,00","25,28","85,04",26," 4096,    1,    1","  512,    1,    1"
65,0.00,bitonic_sort_step,bitonic_sort_step..,"27,94","0,00","21,66","84,61",26," 4096,    1,    1","  512,    1,    1"
66,0.00,bitonic_sort_step,bitonic_sort_step..,"38,56","0,00","10,43","87,02",26," 4096,    1,    1","  512,    1,    1"
67,0.00,bitonic_sort_step,bitonic_sort_step..,"37,82","0,00","10,64","88,95",26," 4096,    1,    1","  512,    1,    1"
68,0.00,bitonic_sort_step,bitonic_sort_step..,"39,10","0,00","10,61","85,84",26," 4096,    1,    1","  512,    1,    1"
69,0.00,bitonic_sort_step,bitonic_sort_step..,"38,05","0,00","10,83","87,69",26," 4096,    1,    1","  512,    1,    1"
70,0.00,bitonic_sort_step,bitonic_sort_step..,"38,34","0,00","11,17","87,74",26," 4096,    1,    1","  512,    1,    1"
71,5.60,bitonic_sort_step,bitonic_sort_step..,"38,30","2,15","11,82","87,98",26," 4096,    1,    1","  512,    1,    1"
72,0.00,bitonic_sort_step,bitonic_sort_step..,"38,69","0,00","13,18","87,25",26," 4096,    1,    1","  512,    1,    1"
73,0.00,bitonic_sort_step,bitonic_sort_step..,"36,64","0,00","23,85","88,58",26," 4096,    1,    1","  512,    1,    1"
74,0.00,bitonic_sort_step,bitonic_sort_step..,"34,88","0,00","24,16","87,94",26," 4096,    1,    1","  512,    1,    1"
75,0.00,bitonic_sort_step,bitonic_sort_step..,"33,18","0,00","24,39","87,32",26," 4096,    1,    1","  512,    1,    1"
76,0.00,bitonic_sort_step,bitonic_sort_step..,"29,54","0,00","25,19","85,12",26," 4096,    1,    1","  512,    1,    1"
