ID,Estimated Speedup [%],Function Name,Demangled Name,Duration [us],Runtime Improvement [us],Compute Throughput [%],Memory Throughput [%],# Registers [register/thread],Grid Size,Block Size [block]
47,94.37,bitonic_sort_step,bitonic_sort_step..,"4,74","4,47","0,22","1,72",26,"    8,    1,    1","  512,    1,    1"
48,94.37,bitonic_sort_step,bitonic_sort_step..,"4,64","4,38","0,24","1,72",26,"    8,    1,    1","  512,    1,    1"
49,94.37,bitonic_sort_step,bitonic_sort_step..,"4,67","4,41","0,31","2,03",26,"    8,    1,    1","  512,    1,    1"
50,94.37,bitonic_sort_step,bitonic_sort_step..,"4,74","4,47","0,57","2,04",26,"    8,    1,    1","  512,    1,    1"
51,94.37,bitonic_sort_step,bitonic_sort_step..,"4,77","4,50","0,57","2,14",26,"    8,    1,    1","  512,    1,    1"
52,94.37,bitonic_sort_step,bitonic_sort_step..,"4,83","4,56","0,54","2,09",26,"    8,    1,    1","  512,    1,    1"
53,94.37,bitonic_sort_step,bitonic_sort_step..,"4,90","4,62","0,52","1,82",26,"    8,    1,    1","  512,    1,    1"
54,94.37,bitonic_sort_step,bitonic_sort_step..,"4,70","4,44","0,46","1,54",26,"    8,    1,    1","  512,    1,    1"
55,94.37,bitonic_sort_step,bitonic_sort_step..,"4,90","4,62","0,23","1,91",26,"    8,    1,    1","  512,    1,    1"
56,94.37,bitonic_sort_step,bitonic_sort_step..,"4,93","4,65","0,23","1,86",26,"    8,    1,    1","  512,    1,    1"
57,94.37,bitonic_sort_step,bitonic_sort_step..,"4,83","4,56","0,24","1,88",26,"    8,    1,    1","  512,    1,    1"
58,94.37,bitonic_sort_step,bitonic_sort_step..,"4,74","4,47","0,25","1,94",26,"    8,    1,    1","  512,    1,    1"
59,94.37,bitonic_sort_step,bitonic_sort_step..,"4,67","4,41","0,27","1,97",26,"    8,    1,    1","  512,    1,    1"
60,94.37,bitonic_sort_step,bitonic_sort_step..,"4,67","4,41","0,30","1,98",26,"    8,    1,    1","  512,    1,    1"
61,94.37,bitonic_sort_step,bitonic_sort_step..,"4,64","4,38","0,58","2,14",26,"    8,    1,    1","  512,    1,    1"
62,94.37,bitonic_sort_step,bitonic_sort_step..,"4,74","4,47","0,56","2,04",26,"    8,    1,    1","  512,    1,    1"
63,94.37,bitonic_sort_step,bitonic_sort_step..,"4,83","4,56","0,55","2,17",26,"    8,    1,    1","  512,    1,    1"
64,94.37,bitonic_sort_step,bitonic_sort_step..,"4,96","4,68","0,53","1,80",26,"    8,    1,    1","  512,    1,    1"
65,94.37,bitonic_sort_step,bitonic_sort_step..,"4,77","4,50","0,50","1,52",26,"    8,    1,    1","  512,    1,    1"
66,94.37,bitonic_sort_step,bitonic_sort_step..,"4,70","4,44","0,14","1,11",26,"    8,    1,    1","  512,    1,    1"
67,94.37,bitonic_sort_step,bitonic_sort_step..,"4,80","4,53","0,22","1,89",26,"    8,    1,    1","  512,    1,    1"
68,94.37,bitonic_sort_step,bitonic_sort_step..,"4,83","4,56","0,22","1,82",26,"    8,    1,    1","  512,    1,    1"
69,94.37,bitonic_sort_step,bitonic_sort_step..,"4,70","4,44","0,23","1,84",26,"    8,    1,    1","  512,    1,    1"
70,94.37,bitonic_sort_step,bitonic_sort_step..,"4,74","4,47","0,21","1,70",26,"    8,    1,    1","  512,    1,    1"
71,94.37,bitonic_sort_step,bitonic_sort_step..,"4,64","4,38","0,22","1,67",26,"    8,    1,    1","  512,    1,    1"
72,94.37,bitonic_sort_step,bitonic_sort_step..,"4,70","4,44","0,24","1,59",26,"    8,    1,    1","  512,    1,    1"
73,94.37,bitonic_sort_step,bitonic_sort_step..,"4,61","4,35","0,42","1,61",26,"    8,    1,    1","  512,    1,    1"
74,94.37,bitonic_sort_step,bitonic_sort_step..,"4,74","4,47","0,43","1,73",26,"    8,    1,    1","  512,    1,    1"
75,94.37,bitonic_sort_step,bitonic_sort_step..,"4,67","4,41","0,41","1,76",26,"    8,    1,    1","  512,    1,    1"
76,94.37,bitonic_sort_step,bitonic_sort_step..,"4,74","4,47","0,40","1,55",26,"    8,    1,    1","  512,    1,    1"
77,94.37,bitonic_sort_step,bitonic_sort_step..,"4,58","4,32","0,36","1,37",26,"    8,    1,    1","  512,    1,    1"
78,97.18,spmv,"spmv(_CsrMatrix_t *, double..","4,86","4,73","0,29","2,12",16,"    4,    1,    1"," 1024,    1,    1"
79,97.18,spmv,"spmv(_CsrMatrix_t *, double..","4,90","4,76","0,29","2,09",16,"    4,    1,    1"," 1024,    1,    1"
80,97.18,spmv,"spmv(_CsrMatrix_t *, double..","4,83","4,70","0,29","2,11",16,"    4,    1,    1"," 1024,    1,    1"
81,97.18,spmv,"spmv(_CsrMatrix_t *, double..","4,83","4,70","0,28","2,13",16,"    4,    1,    1"," 1024,    1,    1"
82,97.18,spmv,"spmv(_CsrMatrix_t *, double..","4,90","4,76","0,29","2,09",16,"    4,    1,    1"," 1024,    1,    1"
83,97.18,spmv,"spmv(_CsrMatrix_t *, double..","4,93","4,79","0,28","2,09",16,"    4,    1,    1"," 1024,    1,    1"
84,97.18,spmv,"spmv(_CsrMatrix_t *, double..","4,83","4,70","0,29","2,13",16,"    4,    1,    1"," 1024,    1,    1"
85,97.18,spmv,"spmv(_CsrMatrix_t *, double..","4,86","4,73","0,29","2,11",16,"    4,    1,    1"," 1024,    1,    1"
86,97.18,spmv,"spmv(_CsrMatrix_t *, double..","4,96","4,82","0,29","2,08",16,"    4,    1,    1"," 1024,    1,    1"
87,97.18,spmv,"spmv(_CsrMatrix_t *, double..","4,83","4,70","0,28","2,12",16,"    4,    1,    1"," 1024,    1,    1"
88,97.18,spmv,"spmv(_CsrMatrix_t *, double..","4,83","4,70","0,28","2,14",16,"    4,    1,    1"," 1024,    1,    1"
89,97.18,spmv,"spmv(_CsrMatrix_t *, double..","4,90","4,76","0,28","2,11",16,"    4,    1,    1"," 1024,    1,    1"
90,97.18,spmv,"spmv(_CsrMatrix_t *, double..","4,86","4,73","0,29","2,10",16,"    4,    1,    1"," 1024,    1,    1"
91,97.18,spmv,"spmv(_CsrMatrix_t *, double..","4,86","4,73","0,29","2,11",16,"    4,    1,    1"," 1024,    1,    1"
