ID,Estimated Speedup [%],Function Name,Demangled Name,Duration [ms],Runtime Improvement [ms],Compute Throughput [%],Memory Throughput [%],# Registers [register/thread],Grid Size,Block Size [block]
47,0.00,bitonic_sort_step,bitonic_sort_step..,"5,59","0,00","5,83","75,46",26,"262144,    1,    1","  512,    1,    1"
48,0.00,bitonic_sort_step,bitonic_sort_step..,"5,33","0,00","6,73","79,47",26,"262144,    1,    1","  512,    1,    1"
49,0.00,bitonic_sort_step,bitonic_sort_step..,"6,45","0,00","6,71","69,62",26,"262144,    1,    1","  512,    1,    1"
50,0.00,bitonic_sort_step,bitonic_sort_step..,"5,64","0,00","13,95","81,82",26,"262144,    1,    1","  512,    1,    1"
51,0.00,bitonic_sort_step,bitonic_sort_step..,"6,22","0,00","12,89","80,97",26,"262144,    1,    1","  512,    1,    1"
52,0.00,bitonic_sort_step,bitonic_sort_step..,"6,70","0,00","11,83","86,33",26,"262144,    1,    1","  512,    1,    1"
53,0.00,bitonic_sort_step,bitonic_sort_step..,"6,44","0,00","11,82","78,05",26,"262144,    1,    1","  512,    1,    1"
54,0.00,bitonic_sort_step,bitonic_sort_step..,"5,78","0,00","11,73","69,77",26,"262144,    1,    1","  512,    1,    1"
55,0.00,bitonic_sort_step,bitonic_sort_step..,"4,77","0,00","6,27","84,48",26,"262144,    1,    1","  512,    1,    1"
56,0.00,bitonic_sort_step,bitonic_sort_step..,"4,86","0,00","6,22","83,64",26,"262144,    1,    1","  512,    1,    1"
57,0.00,bitonic_sort_step,bitonic_sort_step..,"5,11","0,00","6,09","80,43",26,"262144,    1,    1","  512,    1,    1"
58,0.00,bitonic_sort_step,bitonic_sort_step..,"5,61","0,00","5,80","75,09",26,"262144,    1,    1","  512,    1,    1"
59,0.00,bitonic_sort_step,bitonic_sort_step..,"5,35","0,00","6,80","78,86",26,"262144,    1,    1","  512,    1,    1"
60,0.00,bitonic_sort_step,bitonic_sort_step..,"6,47","0,00","6,64","69,34",26,"262144,    1,    1","  512,    1,    1"
61,0.00,bitonic_sort_step,bitonic_sort_step..,"5,62","0,00","14,19","82,03",26,"262144,    1,    1","  512,    1,    1"
62,0.00,bitonic_sort_step,bitonic_sort_step..,"6,05","0,00","13,02","82,67",26,"262144,    1,    1","  512,    1,    1"
63,0.00,bitonic_sort_step,bitonic_sort_step..,"6,59","0,00","11,74","86,86",26,"262144,    1,    1","  512,    1,    1"
64,0.00,bitonic_sort_step,bitonic_sort_step..,"6,19","0,00","11,64","79,39",26,"262144,    1,    1","  512,    1,    1"
65,0.00,bitonic_sort_step,bitonic_sort_step..,"5,31","0,00","11,42","72,21",26,"262144,    1,    1","  512,    1,    1"
66,0.00,bitonic_sort_step,bitonic_sort_step..,"4,63","0,00","6,33","86,22",26,"262144,    1,    1","  512,    1,    1"
67,0.00,bitonic_sort_step,bitonic_sort_step..,"4,77","0,00","6,27","84,60",26,"262144,    1,    1","  512,    1,    1"
68,0.00,bitonic_sort_step,bitonic_sort_step..,"4,92","0,00","6,17","82,61",26,"262144,    1,    1","  512,    1,    1"
69,0.00,bitonic_sort_step,bitonic_sort_step..,"5,19","0,00","6,00","79,43",26,"262144,    1,    1","  512,    1,    1"
70,0.00,bitonic_sort_step,bitonic_sort_step..,"5,57","0,00","5,87","75,47",26,"262144,    1,    1","  512,    1,    1"
71,0.00,bitonic_sort_step,bitonic_sort_step..,"5,31","0,00","6,77","79,36",26,"262144,    1,    1","  512,    1,    1"
72,0.00,bitonic_sort_step,bitonic_sort_step..,"6,44","0,00","6,61","69,62",26,"262144,    1,    1","  512,    1,    1"
73,0.00,bitonic_sort_step,bitonic_sort_step..,"5,61","0,00","14,23","81,85",26,"262144,    1,    1","  512,    1,    1"
74,0.00,bitonic_sort_step,bitonic_sort_step..,"5,95","0,00","13,18","83,64",26,"262144,    1,    1","  512,    1,    1"
75,0.00,bitonic_sort_step,bitonic_sort_step..,"6,43","0,00","11,85","87,63",26,"262144,    1,    1","  512,    1,    1"
76,0.00,bitonic_sort_step,bitonic_sort_step..,"5,89","0,00","11,74","80,68",26,"262144,    1,    1","  512,    1,    1"
77,0.00,bitonic_sort_step,bitonic_sort_step..,"4,94","0,00","11,46","73,81",26,"262144,    1,    1","  512,    1,    1"
78,0.00,bitonic_sort_step,bitonic_sort_step..,"4,62","0,00","6,39","86,35",26,"262144,    1,    1","  512,    1,    1"
79,0.00,bitonic_sort_step,bitonic_sort_step..,"4,64","0,00","6,38","86,06",26,"262144,    1,    1","  512,    1,    1"
80,0.00,bitonic_sort_step,bitonic_sort_step..,"4,79","0,00","6,23","84,18",26,"262144,    1,    1","  512,    1,    1"
81,0.00,bitonic_sort_step,bitonic_sort_step..,"4,95","0,00","6,14","82,16",26,"262144,    1,    1","  512,    1,    1"
82,0.00,bitonic_sort_step,bitonic_sort_step..,"5,20","0,00","5,97","79,25",26,"262144,    1,    1","  512,    1,    1"
83,0.00,bitonic_sort_step,bitonic_sort_step..,"5,62","0,00","5,86","74,67",26,"262144,    1,    1","  512,    1,    1"
84,0.00,bitonic_sort_step,bitonic_sort_step..,"5,38","0,00","6,77","78,30",26,"262144,    1,    1","  512,    1,    1"
85,0.00,bitonic_sort_step,bitonic_sort_step..,"6,41","0,00","6,66","69,81",26,"262144,    1,    1","  512,    1,    1"
86,0.00,bitonic_sort_step,bitonic_sort_step..,"5,55","0,00","14,33","82,40",26,"262144,    1,    1","  512,    1,    1"
87,0.00,bitonic_sort_step,bitonic_sort_step..,"5,92","0,00","13,24","83,75",26,"262144,    1,    1","  512,    1,    1"
88,0.00,bitonic_sort_step,bitonic_sort_step..,"6,34","0,00","11,85","87,65",26,"262144,    1,    1","  512,    1,    1"
89,0.00,bitonic_sort_step,bitonic_sort_step..,"5,71","0,00","12,02","80,35",26,"262144,    1,    1","  512,    1,    1"
90,0.00,bitonic_sort_step,bitonic_sort_step..,"4,65","0,00","11,63","74,26",26,"262144,    1,    1","  512,    1,    1"
91,0.00,bitonic_sort_step,bitonic_sort_step..,"4,54","0,00","6,43","87,93",26,"262144,    1,    1","  512,    1,    1"
92,0.00,bitonic_sort_step,bitonic_sort_step..,"4,61","0,00","6,38","86,80",26,"262144,    1,    1","  512,    1,    1"
93,0.00,bitonic_sort_step,bitonic_sort_step..,"4,66","0,00","6,39","85,87",26,"262144,    1,    1","  512,    1,    1"
94,0.00,bitonic_sort_step,bitonic_sort_step..,"4,76","0,00","6,26","84,62",26,"262144,    1,    1","  512,    1,    1"
95,0.00,bitonic_sort_step,bitonic_sort_step..,"4,96","0,00","6,08","82,09",26,"262144,    1,    1","  512,    1,    1"
96,0.00,bitonic_sort_step,bitonic_sort_step..,"5,20","0,00","5,99","79,24",26,"262144,    1,    1","  512,    1,    1"
97,0.00,bitonic_sort_step,bitonic_sort_step..,"5,58","0,00","5,84","75,32",26,"262144,    1,    1","  512,    1,    1"
98,0.00,bitonic_sort_step,bitonic_sort_step..,"5,35","0,00","6,75","78,57",26,"262144,    1,    1","  512,    1,    1"
99,0.00,bitonic_sort_step,bitonic_sort_step..,"6,45","0,00","6,69","69,27",26,"262144,    1,    1","  512,    1,    1"
100,0.00,bitonic_sort_step,bitonic_sort_step..,"5,48","0,00","14,17","83,24",26,"262144,    1,    1","  512,    1,    1"
101,0.00,bitonic_sort_step,bitonic_sort_step..,"5,95","0,00","13,19","83,08",26,"262144,    1,    1","  512,    1,    1"
102,0.00,bitonic_sort_step,bitonic_sort_step..,"6,30","0,00","11,95","86,63",26,"262144,    1,    1","  512,    1,    1"
103,0.00,bitonic_sort_step,bitonic_sort_step..,"5,60","0,00","12,18","78,47",26,"262144,    1,    1","  512,    1,    1"
104,0.00,bitonic_sort_step,bitonic_sort_step..,"4,45","0,00","11,86","73,27",26,"262144,    1,    1","  512,    1,    1"
105,0.00,bitonic_sort_step,bitonic_sort_step..,"4,55","0,00","6,42","87,49",26,"262144,    1,    1","  512,    1,    1"
106,0.00,bitonic_sort_step,bitonic_sort_step..,"4,59","0,00","6,44","86,83",26,"262144,    1,    1","  512,    1,    1"
107,0.00,bitonic_sort_step,bitonic_sort_step..,"4,60","0,00","6,42","86,99",26,"262144,    1,    1","  512,    1,    1"
108,0.00,bitonic_sort_step,bitonic_sort_step..,"4,61","0,00","6,35","86,59",26,"262144,    1,    1","  512,    1,    1"
109,0.00,bitonic_sort_step,bitonic_sort_step..,"4,73","0,00","6,27","85,08",26,"262144,    1,    1","  512,    1,    1"
110,0.00,bitonic_sort_step,bitonic_sort_step..,"4,98","0,00","6,09","81,75",26,"262144,    1,    1","  512,    1,    1"
