ID,Estimated Speedup [%],Function Name,Demangled Name,Duration [us],Runtime Improvement [us],Compute Throughput [%],Memory Throughput [%],# Registers [register/thread],Grid Size,Block Size [block]
0,8.58,bitonic_sort_step,bitonic_sort_step..,"8,61","0,74","20,54","45,31",26,"  256,    1,    1","  512,    1,    1"
1,12.51,bitonic_sort_step,bitonic_sort_step..,"8,70","1,09","21,83","50,94",26,"  256,    1,    1","  512,    1,    1"
2,10.21,bitonic_sort_step,bitonic_sort_step..,"8,29","0,85","17,50","35,40",26,"  256,    1,    1","  512,    1,    1"
3,8.96,bitonic_sort_step,bitonic_sort_step..,"8,32","0,75","23,13","49,85",26,"  256,    1,    1","  512,    1,    1"
4,9.39,bitonic_sort_step,bitonic_sort_step..,"7,52","0,71","18,84","34,09",26,"  256,    1,    1","  512,    1,    1"
5,11.32,bitonic_sort_step,bitonic_sort_step..,"7,68","0,87","23,50","40,07",26,"  256,    1,    1","  512,    1,    1"
6,8.44,bitonic_sort_step,bitonic_sort_step..,"7,65","0,65","24,73","39,34",26,"  256,    1,    1","  512,    1,    1"
7,8.73,bitonic_sort_step,bitonic_sort_step..,"7,23","0,63","19,93","39,12",26,"  256,    1,    1","  512,    1,    1"
8,7.51,bitonic_sort_step,bitonic_sort_step..,"7,42","0,56","23,63","35,21",26,"  256,    1,    1","  512,    1,    1"
9,7.56,bitonic_sort_step,bitonic_sort_step..,"7,49","0,57","23,13","34,14",26,"  256,    1,    1","  512,    1,    1"
10,6.43,bitonic_sort_step,bitonic_sort_step..,"6,53","0,42","14,82","41,02",26,"  256,    1,    1","  512,    1,    1"
11,7.10,bitonic_sort_step,bitonic_sort_step..,"6,40","0,45","14,25","42,05",26,"  256,    1,    1","  512,    1,    1"
12,6.51,bitonic_sort_step,bitonic_sort_step..,"6,40","0,42","14,24","41,16",26,"  256,    1,    1","  512,    1,    1"
13,7.52,bitonic_sort_step,bitonic_sort_step..,"6,40","0,48","14,47","36,89",26,"  256,    1,    1","  512,    1,    1"
14,7.94,bitonic_sort_step,bitonic_sort_step..,"6,37","0,51","13,86","35,40",26,"  256,    1,    1","  512,    1,    1"
15,11.79,bitonic_sort_step,bitonic_sort_step..,"6,30","0,74","8,01","43,04",26,"  256,    1,    1","  512,    1,    1"
16,9.78,bitonic_sort_step,bitonic_sort_step..,"6,40","0,63","11,86","41,29",26,"  256,    1,    1","  512,    1,    1"
17,7.54,bitonic_sort_step,bitonic_sort_step..,"6,40","0,48","14,47","41,97",26,"  256,    1,    1","  512,    1,    1"
18,5.67,bitonic_sort_step,bitonic_sort_step..,"6,56","0,37","13,27","43,19",26,"  256,    1,    1","  512,    1,    1"
19,9.71,bitonic_sort_step,bitonic_sort_step..,"6,46","0,63","13,51","37,32",26,"  256,    1,    1","  512,    1,    1"
20,8.54,bitonic_sort_step,bitonic_sort_step..,"6,24","0,53","11,98","34,80",26,"  256,    1,    1","  512,    1,    1"
21,15.92,bitonic_sort_step,bitonic_sort_step..,"6,40","1,02","6,79","41,20",26,"  256,    1,    1","  512,    1,    1"
22,13.51,bitonic_sort_step,bitonic_sort_step..,"6,08","0,82","6,52","43,25",26,"  256,    1,    1","  512,    1,    1"
23,8.85,bitonic_sort_step,bitonic_sort_step..,"6,62","0,59","13,19","41,59",26,"  256,    1,    1","  512,    1,    1"
24,7.09,bitonic_sort_step,bitonic_sort_step..,"6,62","0,47","12,71","40,84",26,"  256,    1,    1","  512,    1,    1"
25,7.82,bitonic_sort_step,bitonic_sort_step..,"6,30","0,49","12,84","42,69",26,"  256,    1,    1","  512,    1,    1"
26,9.83,bitonic_sort_step,bitonic_sort_step..,"6,34","0,62","12,44","35,88",26,"  256,    1,    1","  512,    1,    1"
27,8.94,bitonic_sort_step,bitonic_sort_step..,"6,24","0,56","11,61","31,77",26,"  256,    1,    1","  512,    1,    1"
28,5.96,bitonic_sort_step,bitonic_sort_step..,"6,14","0,37","5,97","42,97",26,"  256,    1,    1","  512,    1,    1"
29,16.28,bitonic_sort_step,bitonic_sort_step..,"6,27","1,02","5,84","41,34",26,"  256,    1,    1","  512,    1,    1"
30,12.11,bitonic_sort_step,bitonic_sort_step..,"6,46","0,78","7,14","41,36",26,"  256,    1,    1","  512,    1,    1"
31,6.86,bitonic_sort_step,bitonic_sort_step..,"6,56","0,45","12,95","41,42",26,"  256,    1,    1","  512,    1,    1"
32,6.48,bitonic_sort_step,bitonic_sort_step..,"6,50","0,42","13,11","40,13",26,"  256,    1,    1","  512,    1,    1"
33,7.42,bitonic_sort_step,bitonic_sort_step..,"6,50","0,48","12,50","39,73",26,"  256,    1,    1","  512,    1,    1"
34,7.36,bitonic_sort_step,bitonic_sort_step..,"6,27","0,46","12,13","33,77",26,"  256,    1,    1","  512,    1,    1"
35,8.34,bitonic_sort_step,bitonic_sort_step..,"6,08","0,51","10,87","30,25",26,"  256,    1,    1","  512,    1,    1"
36,8.32,bitonic_sort_step,bitonic_sort_step..,"6,43","0,53","5,50","40,21",26,"  256,    1,    1","  512,    1,    1"
37,9.65,bitonic_sort_step,bitonic_sort_step..,"6,50","0,63","5,63","40,02",26,"  256,    1,    1","  512,    1,    1"
38,15.89,bitonic_sort_step,bitonic_sort_step..,"6,18","0,98","6,22","42,40",26,"  256,    1,    1","  512,    1,    1"
39,10.90,bitonic_sort_step,bitonic_sort_step..,"6,50","0,71","7,17","40,86",26,"  256,    1,    1","  512,    1,    1"
