ID,Estimated Speedup [%],Function Name,Demangled Name,Duration [us],Runtime Improvement [us],Compute Throughput [%],Memory Throughput [%],# Registers [register/thread],Grid Size,Block Size [block]
88,9.53,bitonic_sort_step,bitonic_sort_step..,"6,14","0,59","10,77","33,11",26,"  256,    1,    1","  512,    1,    1"
89,10.80,bitonic_sort_step,bitonic_sort_step..,"6,08","0,66","9,78","27,89",26,"  256,    1,    1","  512,    1,    1"
90,11.92,bitonic_sort_step,bitonic_sort_step..,"5,98","0,71","8,20","26,43",26,"  256,    1,    1","  512,    1,    1"
91,17.02,bitonic_sort_step,bitonic_sort_step..,"6,37","1,08","5,19","39,81",26,"  256,    1,    1","  512,    1,    1"
92,17.60,bitonic_sort_step,bitonic_sort_step..,"6,46","1,14","5,22","41,40",26,"  256,    1,    1","  512,    1,    1"
93,18.31,bitonic_sort_step,bitonic_sort_step..,"6,72","1,23","5,01","38,68",26,"  256,    1,    1","  512,    1,    1"
94,15.77,bitonic_sort_step,bitonic_sort_step..,"6,34","1,00","5,32","41,81",26,"  256,    1,    1","  512,    1,    1"
95,18.27,bitonic_sort_step,bitonic_sort_step..,"6,66","1,22","5,04","38,82",26,"  256,    1,    1","  512,    1,    1"
96,11.49,bitonic_sort_step,bitonic_sort_step..,"6,40","0,74","5,24","40,00",26,"  256,    1,    1","  512,    1,    1"
97,11.85,bitonic_sort_step,bitonic_sort_step..,"6,24","0,74","5,48","41,39",26,"  256,    1,    1","  512,    1,    1"
98,15.62,bitonic_sort_step,bitonic_sort_step..,"6,24","0,97","5,74","41,03",26,"  256,    1,    1","  512,    1,    1"
99,16.34,bitonic_sort_step,bitonic_sort_step..,"6,24","1,02","6,55","41,16",26,"  256,    1,    1","  512,    1,    1"
100,9.10,bitonic_sort_step,bitonic_sort_step..,"6,27","0,57","10,84","37,63",26,"  256,    1,    1","  512,    1,    1"
101,12.14,bitonic_sort_step,bitonic_sort_step..,"6,21","0,75","10,55","33,67",26,"  256,    1,    1","  512,    1,    1"
102,9.53,bitonic_sort_step,bitonic_sort_step..,"6,08","0,58","9,88","31,00",26,"  256,    1,    1","  512,    1,    1"
103,11.56,bitonic_sort_step,bitonic_sort_step..,"6,02","0,70","9,15","26,81",26,"  256,    1,    1","  512,    1,    1"
104,11.62,bitonic_sort_step,bitonic_sort_step..,"5,95","0,69","7,37","25,61",26,"  256,    1,    1","  512,    1,    1"
105,18.53,bitonic_sort_step,bitonic_sort_step..,"6,78","1,26","5,25","39,76",26,"  256,    1,    1","  512,    1,    1"
106,17.81,bitonic_sort_step,bitonic_sort_step..,"7,01","1,25","4,98","38,46",26,"  256,    1,    1","  512,    1,    1"
107,17.88,bitonic_sort_step,bitonic_sort_step..,"6,62","1,18","5,26","40,80",26,"  256,    1,    1","  512,    1,    1"
108,17.65,bitonic_sort_step,bitonic_sort_step..,"6,78","1,20","4,86","39,26",26,"  256,    1,    1","  512,    1,    1"
109,15.59,bitonic_sort_step,bitonic_sort_step..,"6,53","1,02","5,35","41,37",26,"  256,    1,    1","  512,    1,    1"
110,17.95,bitonic_sort_step,bitonic_sort_step..,"6,50","1,17","5,30","40,96",26,"  256,    1,    1","  512,    1,    1"
111,12.22,bitonic_sort_step,bitonic_sort_step..,"6,59","0,81","5,44","40,77",26,"  256,    1,    1","  512,    1,    1"
112,11.52,bitonic_sort_step,bitonic_sort_step..,"6,46","0,74","5,48","41,63",26,"  256,    1,    1","  512,    1,    1"
