ID,Estimated Speedup [%],Function Name,Demangled Name,Duration [ms],Runtime Improvement [ms],Compute Throughput [%],Memory Throughput [%],# Registers [register/thread],Grid Size,Block Size [block]
47,0.00,bitonic_sort_step,bitonic_sort_step..,"5,63","0,00","5,84","74,94",26,"262144,    1,    1","  512,    1,    1"
48,0.00,bitonic_sort_step,bitonic_sort_step..,"5,35","0,00","6,82","79,10",26,"262144,    1,    1","  512,    1,    1"
49,0.00,bitonic_sort_step,bitonic_sort_step..,"6,42","0,00","6,73","69,91",26,"262144,    1,    1","  512,    1,    1"
50,0.00,bitonic_sort_step,bitonic_sort_step..,"5,66","0,00","13,89","81,55",26,"262144,    1,    1","  512,    1,    1"
51,0.00,bitonic_sort_step,bitonic_sort_step..,"6,21","0,00","12,92","80,99",26,"262144,    1,    1","  512,    1,    1"
52,0.00,bitonic_sort_step,bitonic_sort_step..,"6,71","0,00","11,78","86,20",26,"262144,    1,    1","  512,    1,    1"
53,0.00,bitonic_sort_step,bitonic_sort_step..,"6,43","0,00","11,85","78,19",26,"262144,    1,    1","  512,    1,    1"
54,0.00,bitonic_sort_step,bitonic_sort_step..,"5,81","0,00","11,66","69,35",26,"262144,    1,    1","  512,    1,    1"
55,0.00,bitonic_sort_step,bitonic_sort_step..,"4,74","0,00","6,27","85,06",26,"262144,    1,    1","  512,    1,    1"
56,0.00,bitonic_sort_step,bitonic_sort_step..,"4,88","0,00","6,19","83,28",26,"262144,    1,    1","  512,    1,    1"
57,0.00,bitonic_sort_step,bitonic_sort_step..,"5,14","0,00","6,07","80,01",26,"262144,    1,    1","  512,    1,    1"
58,0.00,bitonic_sort_step,bitonic_sort_step..,"5,65","0,00","5,83","74,54",26,"262144,    1,    1","  512,    1,    1"
59,0.00,bitonic_sort_step,bitonic_sort_step..,"5,36","0,00","6,72","78,88",26,"262144,    1,    1","  512,    1,    1"
60,0.00,bitonic_sort_step,bitonic_sort_step..,"6,50","0,00","6,61","69,06",26,"262144,    1,    1","  512,    1,    1"
61,0.00,bitonic_sort_step,bitonic_sort_step..,"5,62","0,00","13,91","82,09",26,"262144,    1,    1","  512,    1,    1"
62,0.00,bitonic_sort_step,bitonic_sort_step..,"6,04","0,00","13,03","82,75",26,"262144,    1,    1","  512,    1,    1"
63,0.00,bitonic_sort_step,bitonic_sort_step..,"6,55","0,00","11,69","87,40",26,"262144,    1,    1","  512,    1,    1"
64,0.00,bitonic_sort_step,bitonic_sort_step..,"6,18","0,00","11,63","79,48",26,"262144,    1,    1","  512,    1,    1"
65,0.00,bitonic_sort_step,bitonic_sort_step..,"5,32","0,00","11,33","71,98",26,"262144,    1,    1","  512,    1,    1"
66,0.00,bitonic_sort_step,bitonic_sort_step..,"4,62","0,00","6,36","86,52",26,"262144,    1,    1","  512,    1,    1"
67,0.00,bitonic_sort_step,bitonic_sort_step..,"4,77","0,00","6,27","84,72",26,"262144,    1,    1","  512,    1,    1"
